dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
74;04;2023-07-10;23;9;1;0;0;0;49304.0;0.0;0.0;0.0;0.0;0.0;0.0
74;11;2023-07-10;1313;1155;84;2;11;0;22494.0;5.8;5.1;0.4;0.0;0.0;0.0
74;17;2023-07-10;49301;48325;9842;226;460;7;64915.0;75.9;74.4;15.2;0.3;0.7;0.0
74;24;2023-07-10;56156;55524;36087;890;763;11;61019.0;92.0;91.0;59.1;1.5;1.3;0.0
74;29;2023-07-10;42502;42035;26151;822;661;13;46558.0;91.3;90.3;56.2;1.8;1.4;0.0
74;39;2023-07-10;96985;95986;62091;2586;2148;61;118592.0;81.8;80.9;52.4;2.2;1.8;0.1
74;49;2023-07-10;97894;97134;70500;4273;3500;177;119778.0;81.7;81.1;58.9;3.6;2.9;0.1
74;59;2023-07-10;96251;95683;78450;10531;7555;857;115771.0;83.1;82.6;67.8;9.1;6.5;0.7
74;09;2023-07-10;948;767;43;1;4;0;53568.0;1.8;1.4;0.1;0.0;0.0;0.0
74;64;2023-07-10;39922;39720;35013;12210;6734;1924;47080.0;84.8;84.4;74.4;25.9;14.3;4.1
74;69;2023-07-10;36161;35978;32945;14721;8553;2868;41690.0;86.7;86.3;79.0;35.3;20.5;6.9
74;74;2023-07-10;35674;35493;32991;16780;9682;3688;39820.0;89.6;89.1;82.9;42.1;24.3;9.3
74;79;2023-07-10;24604;24458;22781;12575;7176;3227;27979.0;87.9;87.4;81.4;44.9;25.6;11.5
74;80;2023-07-10;35742;35216;31463;18164;10324;5487;41557.0;86.0;84.7;75.7;43.7;24.8;13.2
75;04;2023-07-10;67;29;6;0;0;0;103545.0;0.1;0.0;0.0;0.0;0.0;0.0
75;11;2023-07-10;5664;4970;390;13;116;1;37957.0;14.9;13.1;1.0;0.0;0.3;0.0
75;17;2023-07-10;99750;97322;26904;1152;1874;19;120239.0;83.0;80.9;22.4;1.0;1.6;0.0
75;24;2023-07-10;175252;173111;127143;6105;4322;114;198435.0;88.3;87.2;64.1;3.1;2.2;0.1
75;29;2023-07-10;203308;201743;156279;10224;7499;246;198228.0;99.0;99.0;78.8;5.2;3.8;0.1
75;39;2023-07-10;321646;318972;247922;23547;19152;799;358060.0;89.8;89.1;69.2;6.6;5.3;0.2
75;49;2023-07-10;265057;262952;211721;27138;23148;1392;277886.0;95.4;94.6;76.2;9.8;8.3;0.5
75;59;2023-07-10;256108;254443;218156;50961;39192;5762;261554.0;97.9;97.3;83.4;19.5;15.0;2.2
75;09;2023-07-10;5770;4890;117;2;8;0;93778.0;6.2;5.2;0.1;0.0;0.0;0.0
75;64;2023-07-10;106289;105594;94013;44002;26567;10831;112215.0;94.7;94.1;83.8;39.2;23.7;9.7
75;69;2023-07-10;91963;91328;83215;46509;29730;14413;100878.0;91.2;90.5;82.5;46.1;29.5;14.3
75;74;2023-07-10;92113;91528;84681;53932;35873;19848;97835.0;94.2;93.6;86.6;55.1;36.7;20.3
75;79;2023-07-10;62901;62415;57919;39225;27073;16531;71763.0;87.7;87.0;80.7;54.7;37.7;23.0
75;80;2023-07-10;98100;96532;86897;60057;40363;27459;107534.0;91.2;89.8;80.8;55.8;37.5;25.5
76;04;2023-07-10;16;4;0;0;0;0;66625.0;0.0;0.0;0.0;0.0;0.0;0.0
76;11;2023-07-10;4643;3793;161;6;51;0;31659.0;14.7;12.0;0.5;0.0;0.2;0.0
76;17;2023-07-10;86301;84732;21708;518;1094;17;94866.0;91.0;89.3;22.9;0.5;1.2;0.0
76;24;2023-07-10;102709;101576;77835;2241;1782;44;109711.0;93.6;92.6;70.9;2.0;1.6;0.0
76;29;2023-07-10;65530;64741;48326;1988;1622;45;69880.0;93.8;92.6;69.2;2.8;2.3;0.1
76;39;2023-07-10;140461;139080;106040;5277;4215;181;152404.0;92.2;91.3;69.6;3.5;2.8;0.1
76;49;2023-07-10;143019;142151;119285;9468;7708;441;150100.0;95.3;94.7;79.5;6.3;5.1;0.3
76;59;2023-07-10;153545;152894;137633;26784;18293;2848;158887.0;96.6;96.2;86.6;16.9;11.5;1.8
76;09;2023-07-10;4225;3365;37;0;1;0;74847.0;5.6;4.5;0.0;0.0;0.0;0.0
76;64;2023-07-10;73993;73734;68958;32471;17333;6793;77726.0;95.2;94.9;88.7;41.8;22.3;8.7
76;69;2023-07-10;70563;70313;66514;37850;21357;9420;75221.0;93.8;93.5;88.4;50.3;28.4;12.5
76;74;2023-07-10;66522;66226;63138;39402;22656;11096;69554.0;95.6;95.2;90.8;56.6;32.6;16.0
76;79;2023-07-10;40214;40020;37902;25231;14871;8186;46000.0;87.4;87.0;82.4;54.8;32.3;17.8
76;80;2023-07-10;69289;68341;62153;41931;24498;15646;76116.0;91.0;89.8;81.7;55.1;32.2;20.6
77;04;2023-07-10;50;19;5;0;0;0;88802.0;0.1;0.0;0.0;0.0;0.0;0.0
77;11;2023-07-10;3239;2811;215;2;46;0;42308.0;7.7;6.6;0.5;0.0;0.1;0.0
77;17;2023-07-10;96465;93951;21770;556;1164;9;123173.0;78.3;76.3;17.7;0.5;0.9;0.0
77;24;2023-07-10;114760;112980;78761;2164;1631;38;126437.0;90.8;89.4;62.3;1.7;1.3;0.0
77;29;2023-07-10;73847;72843;49262;1621;1221;38;81554.0;90.5;89.3;60.4;2.0;1.5;0.0
77;39;2023-07-10;168234;166204;114792;4964;3834;180;188868.0;89.1;88.0;60.8;2.6;2.0;0.1
77;49;2023-07-10;177960;176527;136597;9116;7124;457;195934.0;90.8;90.1;69.7;4.7;3.6;0.2
77;59;2023-07-10;175366;174409;149651;24334;16975;2483;188490.0;93.0;92.5;79.4;12.9;9.0;1.3
77;09;2023-07-10;2424;2045;45;0;4;0;99236.0;2.4;2.1;0.0;0.0;0.0;0.0
77;64;2023-07-10;70604;70249;63487;26306;14230;5478;80404.0;87.8;87.4;79.0;32.7;17.7;6.8
77;69;2023-07-10;60620;60311;55758;28893;16428;7192;68761.0;88.2;87.7;81.1;42.0;23.9;10.5
77;74;2023-07-10;55754;55459;51947;30362;17731;8599;61496.0;90.7;90.2;84.5;49.4;28.8;14.0
77;79;2023-07-10;33097;32843;30642;18959;11180;6004;39478.0;83.8;83.2;77.6;48.0;28.3;15.2
77;80;2023-07-10;50585;49756;44663;28095;16253;10007;58855.0;85.9;84.5;75.9;47.7;27.6;17.0
78;04;2023-07-10;36;12;3;0;0;0;89097.0;0.0;0.0;0.0;0.0;0.0;0.0
78;11;2023-07-10;4401;3816;335;12;77;0;41694.0;10.6;9.2;0.8;0.0;0.2;0.0
78;17;2023-07-10;100573;98533;25063;870;1502;7;122370.0;82.2;80.5;20.5;0.7;1.2;0.0
78;24;2023-07-10;119843;118325;86004;2843;2110;37;122834.0;97.6;96.3;70.0;2.3;1.7;0.0
78;29;2023-07-10;79635;78686;55784;2315;1755;55;78482.0;99.0;99.0;71.1;2.9;2.2;0.1
78;39;2023-07-10;172302;170344;123388;6713;5368;211;180420.0;95.5;94.4;68.4;3.7;3.0;0.1
78;49;2023-07-10;189942;188471;151070;12748;10531;506;201808.0;94.1;93.4;74.9;6.3;5.2;0.3
78;59;2023-07-10;183615;182609;159497;30707;22881;3064;194716.0;94.3;93.8;81.9;15.8;11.8;1.6
78;09;2023-07-10;3727;3133;95;1;2;0;98990.0;3.8;3.2;0.1;0.0;0.0;0.0
78;64;2023-07-10;73233;72899;66185;30839;17660;6937;81015.0;90.4;90.0;81.7;38.1;21.8;8.6
78;69;2023-07-10;60218;59861;55218;31095;18827;8769;67942.0;88.6;88.1;81.3;45.8;27.7;12.9
78;74;2023-07-10;59317;59033;55206;35025;22059;11523;63787.0;93.0;92.5;86.5;54.9;34.6;18.1
78;79;2023-07-10;39978;39741;37141;24819;16218;9649;47344.0;84.4;83.9;78.4;52.4;34.3;20.4
78;80;2023-07-10;65137;64304;58166;39584;25567;17007;73210.0;89.0;87.8;79.5;54.1;34.9;23.2
79;04;2023-07-10;7;2;1;0;0;0;16895.0;0.0;0.0;0.0;0.0;0.0;0.0
79;11;2023-07-10;1088;883;31;0;10;0;9255.0;11.8;9.5;0.3;0.0;0.1;0.0
79;17;2023-07-10;27150;26696;6213;116;237;2;29015.0;93.6;92.0;21.4;0.4;0.8;0.0
79;24;2023-07-10;27797;27515;21047;496;444;10;26489.0;99.0;99.0;79.5;1.9;1.7;0.0
79;29;2023-07-10;15792;15591;11582;332;276;9;16153.0;97.8;96.5;71.7;2.1;1.7;0.1
79;39;2023-07-10;36559;36225;27942;1038;903;36;39430.0;92.7;91.9;70.9;2.6;2.3;0.1
