dep;sexe;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
35;0;2023-07-10;893123;884842;698113;177000;113614;37907;80.6;79.9;63.0;16.0;10.3;3.4
36;0;2023-07-10;178431;176757;146563;41272;21964;8168;83.0;82.2;68.2;19.2;10.2;3.8
37;0;2023-07-10;502357;497925;402194;122744;77026;33060;81.9;81.2;65.6;20.0;12.6;5.4
38;0;2023-07-10;1012496;1002686;764430;191711;119428;43934;78.7;78.0;59.4;14.9;9.3;3.4
39;0;2023-07-10;200981;198907;154576;38205;22467;7463;78.2;77.4;60.1;14.9;8.7;2.9
40;0;2023-07-10;357415;353922;283711;83261;51367;20221;84.6;83.8;67.2;19.7;12.2;4.8
41;0;2023-07-10;272631;270033;220661;66288;39093;16546;83.7;82.9;67.8;20.4;12.0;5.1
42;0;2023-07-10;594034;588453;450782;111815;66241;22550;77.4;76.7;58.7;14.6;8.6;2.9
43;0;2023-07-10;178632;176930;135308;28462;16302;4803;78.6;77.9;59.5;12.5;7.2;2.1
44;0;2023-07-10;1183942;1172879;921584;252969;167745;63836;80.1;79.4;62.3;17.1;11.3;4.3
45;0;2023-07-10;539418;533751;423522;119114;72073;30694;78.6;77.8;61.7;17.4;10.5;4.5
46;0;2023-07-10;137736;136150;108884;30836;18234;6658;78.9;78.0;62.4;17.7;10.4;3.8
47;0;2023-07-10;264038;260896;204666;52351;29950;10967;80.2;79.3;62.2;15.9;9.1;3.3
48;0;2023-07-10;58278;57672;44665;10298;5857;1604;76.1;75.3;58.3;13.4;7.6;2.1
49;0;2023-07-10;666950;661055;523587;143789;88674;33570;80.8;80.1;63.4;17.4;10.7;4.1
50;0;2023-07-10;424032;420034;344894;94576;56710;20339;86.3;85.5;70.2;19.3;11.5;4.1
51;0;2023-07-10;445138;440640;352585;96553;56959;23374;79.1;78.3;62.7;17.2;10.1;4.2
52;0;2023-07-10;135621;134303;108997;27655;14882;5431;81.5;80.7;65.5;16.6;8.9;3.3
53;0;2023-07-10;252704;250283;200569;47753;27699;8284;82.6;81.8;65.6;15.6;9.1;2.7
54;0;2023-07-10;570110;564142;451925;121256;76947;30000;78.0;77.2;61.8;16.6;10.5;4.1
55;0;2023-07-10;146040;144416;116925;31326;17400;6496;82.0;81.1;65.6;17.6;9.8;3.6
56;0;2023-07-10;652890;646818;518794;151069;91100;34614;84.7;83.9;67.3;19.6;11.8;4.5
57;0;2023-07-10;813106;804810;636691;143047;82087;26684;77.9;77.1;61.0;13.7;7.9;2.6
58;0;2023-07-10;165688;164086;136139;41792;22413;9319;83.1;82.3;68.3;21.0;11.2;4.7
59;0;2023-07-10;2027409;2006512;1577565;385963;230062;86875;77.8;77.0;60.5;14.8;8.8;3.3
60;0;2023-07-10;637724;631007;483265;109060;63640;24203;76.6;75.7;58.0;13.1;7.6;2.9
61;0;2023-07-10;227323;224979;182594;47739;26607;9509;83.2;82.3;66.8;17.5;9.7;3.5
62;0;2023-07-10;1198867;1187666;956404;226481;131230;48857;82.3;81.5;65.7;15.5;9.0;3.4
63;0;2023-07-10;530497;525534;417657;106906;64515;24036;78.9;78.1;62.1;15.9;9.6;3.6
